numeroCfr;Navire;dateDebutValidite;dateFinValidite
FRA000924816;ANNYTIA;01/02/2022;31/01/2023
FRA000930507;BELENOS;01/02/2022;31/01/2023
FRA000711681;BOREE-AL;01/02/2022;31/01/2023
FRA000933574;CALIFORNIA;01/02/2022;31/01/2023
FRA000922443;CAP PILAR;01/02/2022;31/01/2023
FRA000924817;CARMALIA;01/02/2022;31/01/2023
FRA000775473;CHARLEVY;01/02/2022;31/01/2023
FRA000933006;DIOGENE;01/02/2022;31/01/2023
FRA000931328;FARFADET;01/02/2022;31/01/2023
FRA000918511;FELIR;01/02/2022;31/01/2023
FRA000907899;FLEUR DE GWARES;01/02/2022;31/01/2023
FRA000642969;GALAPAGOS;01/02/2022;31/01/2023
FRA000651332;HERA;01/02/2022;31/01/2023
FRA000912218;HERMINE;01/02/2022;31/01/2023
FRA000898426;ITASCA;01/02/2022;31/01/2023
FRA000930158;LA FANETTE;01/02/2022;31/01/2023
FRA000713657;L'ALIZE III;01/02/2022;31/01/2023
FRA000928993;LAZALAI;01/02/2022;31/01/2023
FRA000878713;LE COELACANTHE;01/02/2022;31/01/2023
FRA000711553;LE TIBERIADE;01/02/2022;31/01/2023
FRA000722685;L'ECUME DES JOURS;01/02/2022;31/01/2023
FRA000914060;MARANATHA 2;01/02/2022;31/01/2023
FRA000933547;MARANELLO;01/02/2022;31/01/2023
FRA000932176;MARGUERITE;01/02/2022;31/01/2023
FRA000933667;MARIBELISE;01/02/2022;31/01/2023
FRA000932659;MELIZENN;01/02/2022;31/01/2023
FRA000907950;MOR BREIZ;01/02/2022;31/01/2023
FRA000878368;NAUSICAA;01/02/2022;31/01/2023
FRA000777477;PENN KALET;01/02/2022;31/01/2023
FRA000571899;PHOENIX;01/02/2022;31/01/2023
FRA000614312;PIERRE DE JADE;01/02/2022;31/01/2023
FRA000932222;SCUDERIA;01/02/2022;31/01/2023
FRA000518388;SOUVIENS TOI;01/02/2022;31/01/2023
FRA000930821;STRADALE;01/02/2022;31/01/2023
FRA000907929;TALARIANTE;01/02/2022;31/01/2023
FRA000929533;TARANIS;01/02/2022;31/01/2023
FRA000899833;TESTAROSSA;01/02/2022;31/01/2023
FRA000775901;L'ALBATROS;01/02/2022;31/01/2023
FRA000639426;LE TEMERAIRE;01/02/2022;31/01/2023
FRA000907942;REINE D'ARVOR;01/02/2022;31/01/2023
