"lon","lat","course","timestamp","speed","seg_id"
-0.25158,49.2726333333,360,"2018-11-05T14:06:01.000Z",0,"227563230-2018-11-05T14:06:01.000000Z"
-0.2516683333,49.2725833333,360,"2018-11-06T05:11:17.000Z",0,"227563230-2018-11-05T14:06:01.000000Z"
-0.24514,49.36719,353.2,"2018-11-06T06:27:15.000Z",7.8,"227563230-2018-11-05T14:06:01.000000Z"
-0.2435683333,49.3827066667,2.2000000477,"2018-11-06T06:34:34.000Z",7.6999998093,"227563230-2018-11-05T14:06:01.000000Z"
-0.2423666667,49.3950033333,4,"2018-11-06T06:40:04.000Z",8,"227563230-2018-11-05T14:06:01.000000Z"
-0.2415916667,49.4001066667,9.1999998093,"2018-11-06T06:43:02.000Z",3.5999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.2417583333,49.4050866667,30.3999996185,"2018-11-06T06:58:03.000Z",4.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.23405,49.41215,33.3,"2018-11-06T07:06:26.000Z",3.3,"227563230-2018-11-05T14:06:01.000000Z"
-0.2300816667,49.416,32.7999992371,"2018-11-06T07:11:08.000Z",3.5999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.1761166667,49.43759,43.7,"2018-11-06T09:27:03.000Z",3.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.1696233333,49.4438333333,1.5,"2018-11-06T09:35:02.000Z",3.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.1731016667,49.4481466667,306.6,"2018-11-06T09:40:13.000Z",3.3,"227563230-2018-11-05T14:06:01.000000Z"
-0.1816516667,49.44948,272.3999938965,"2018-11-06T09:46:44.000Z",3.0999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.1927366667,49.4487566667,257,"2018-11-06T09:55:01.000Z",3.1,"227563230-2018-11-05T14:06:01.000000Z"
-0.2034733333,49.4475033333,260,"2018-11-06T10:03:05.000Z",3.2000000477,"227563230-2018-11-05T14:06:01.000000Z"
-0.2180366667,49.4459066667,255.8000030518,"2018-11-06T10:13:40.000Z",3.2999999523,"227563230-2018-11-05T14:06:01.000000Z"
-0.2268633333,49.4444266667,255.6,"2018-11-06T10:20:02.000Z",3.2,"227563230-2018-11-05T14:06:01.000000Z"
-0.2337716667,49.44337,256,"2018-11-06T10:25:02.000Z",3.2,"227563230-2018-11-05T14:06:01.000000Z"
-0.24132,49.4423366667,258.4,"2018-11-06T10:30:22.000Z",3.3,"227563230-2018-11-05T14:06:01.000000Z"
-0.2486966667,49.4418233333,263,"2018-11-06T10:35:22.000Z",3.7,"227563230-2018-11-05T14:06:01.000000Z"
-0.2558516667,49.4417333333,274.6,"2018-11-06T10:40:03.000Z",3.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.26342,49.4413166667,244,"2018-11-06T10:45:03.000Z",3.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.27819,49.4388533333,238.9,"2018-11-06T10:55:01.000Z",3.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.2825816667,49.4349933333,181.4,"2018-11-06T11:00:22.000Z",3,"227563230-2018-11-05T14:06:01.000000Z"
-0.2747816667,49.4336033333,73.9000015259,"2018-11-06T11:07:45.000Z",2.7999999523,"227563230-2018-11-05T14:06:01.000000Z"
-0.2653883333,49.4343933333,79.5999984741,"2018-11-06T11:16:06.000Z",2.7000000477,"227563230-2018-11-05T14:06:01.000000Z"
-0.2574816667,49.4365333333,23.3,"2018-11-06T11:25:03.000Z",0.7,"227563230-2018-11-05T14:06:01.000000Z"
-0.2561033333,49.4375566667,25.7000007629,"2018-11-06T11:27:45.000Z",2.5999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.2550333333,49.43912,18.5,"2018-11-06T11:30:02.000Z",2.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.24593,49.44047,74.7,"2018-11-06T11:40:01.000Z",2.4,"227563230-2018-11-05T14:06:01.000000Z"
-0.2348883333,49.4422133333,78.3,"2018-11-06T11:50:03.000Z",2.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.2237566667,49.4431,79.8,"2018-11-06T12:00:02.000Z",2.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.2128033333,49.4438966667,81,"2018-11-06T12:10:02.000Z",2.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.2040083333,49.44406,92.1999969482,"2018-11-06T12:18:07.000Z",2.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.1967016667,49.44341,97,"2018-11-06T12:24:55.000Z",2.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.1876433333,49.44175,133.1000061035,"2018-11-06T12:34:01.000Z",2.5,"227563230-2018-11-05T14:06:01.000000Z"
-0.1854033333,49.43711,194,"2018-11-06T12:40:03.000Z",3.3,"227563230-2018-11-05T14:06:01.000000Z"
-0.1905766667,49.4338733333,251.5,"2018-11-06T12:44:36.000Z",4.0999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.1986383333,49.43419,282,"2018-11-06T12:49:21.000Z",3.9000000954,"227563230-2018-11-05T14:06:01.000000Z"
-0.2061733333,49.4355,264.6000061035,"2018-11-06T12:58:33.000Z",3.2000000477,"227563230-2018-11-05T14:06:01.000000Z"
-0.2133933333,49.4281333333,192.8999938965,"2018-11-06T13:04:41.000Z",6.3000001907,"227563230-2018-11-05T14:06:01.000000Z"
-0.228635,49.3804933333,193.6999969482,"2018-11-06T13:33:03.000Z",6.0999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.2433316667,49.3285,191.6,"2018-11-06T14:05:03.000Z",4.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.2428833333,49.3222333333,171.1,"2018-11-06T14:10:02.000Z",4.7,"227563230-2018-11-05T14:06:01.000000Z"
-0.243135,49.3157233333,186.8,"2018-11-06T14:15:03.000Z",4.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.2437883333,49.3092366667,188,"2018-11-06T14:20:03.000Z",4.7,"227563230-2018-11-05T14:06:01.000000Z"
-0.2445333333,49.3032966667,184.3000030518,"2018-11-06T14:24:47.000Z",4.5999999046,"227563230-2018-11-05T14:06:01.000000Z"
-0.2452083333,49.2963733333,183.8,"2018-11-06T14:30:03.000Z",4.6,"227563230-2018-11-05T14:06:01.000000Z"
-0.2464883333,49.28961,193.2,"2018-11-06T14:35:22.000Z",4.7,"227563230-2018-11-05T14:06:01.000000Z"
-0.2480183333,49.2829766667,190.5,"2018-11-06T14:40:13.000Z",5.2,"227563230-2018-11-05T14:06:01.000000Z"
-0.24926,49.2805666667,360,"2018-11-06T15:11:39.000Z",0,"227563230-2018-11-05T14:06:01.000000Z"
-0.249255,49.2805766667,158.1,"2018-11-06T15:15:22.000Z",0.4,"227563230-2018-11-05T14:06:01.000000Z"
